fourgram1.txt## بسم الله الرحمن,[الآية 72]قال أبو يزيد
fourgram58.txt#ليعذبهم وأنت فيهم وما,مائة صحب ابن الجلاء
fourgram59.txt#مائة عام قال إذا,مسك يفزع الناس ولا
fourgram60.txt#مسكا بطن نعمان إن,ممتنعة عن أن توصل
fourgram61.txt#ممتنعة عن الإشارات فضلا,من القوم فسأله عن
fourgram62.txt#من القوم فلا كلام,من عبيده أن يجريهم
fourgram63.txt#من عبيده أن يرضوا,منكم ومن المبدل له
fourgram64.txt#منكم يا ساداتی ان,نعم العبد * وقوله
fourgram65.txt#نعم العبد *قوله تعالى,هذه القرية ومن كره
fourgram66.txt#هذه القسمة في النهار,وأن لا إله إلا
fourgram67.txt#وأن لا تأسي ولا,والإيمان والتصديق له وما
fourgram68.txt#والإيمان والدنيا والآخرة من,والمسلمون من القرابين لأجل
fourgram69.txt#والمسلمين الذين يتهمون النصارى,وجل فرض عليكم الجمعة
fourgram70.txt#وجل فزادتهم إيمانا وهم,وسلم عن الدنيا ومقدارها
fourgram71.txt#وسلم عن الزهد في,وقال أبو بكر إذا
fourgram72.txt#وقال أبو بكر احذر,وكذلك يحي الله تعالى
fourgram73.txt#وكذلك يذكر عن بعض,ولم ير أن يقعد
fourgram74.txt#ولم ير التوبة على,ونهى عن التنعم والرفاهة
fourgram75.txt#ونهى عن الشرقاء والخرقاء,يأمر بالصلاة غير المكتوبة
fourgram76.txt#يأمر بالعدل والإحسان قال,يدخله حتى يقلعوا ذلك
fourgram77.txt#يدخله ذلك في حقيقة,يعرف ذلك منه إن
fourgram78.txt#يعرف ربه ومن عبده,يكن له يوم السبت
fourgram79.txt#يكن لها حظ من,— من البين الظاهر
